POD,Node,Interface,Mode,Speed,Status
1,104,[eth12/2],trunk,inherit,down
1,104,[eth5/7],trunk,inherit,down
1,104,[eth11/23],trunk,inherit,down
1,104,[eth15/5],trunk,inherit,down
1,104,[eth8/10],trunk,inherit,down
1,104,[eth14/11],trunk,inherit,down
1,104,[eth12/20],trunk,inherit,down
1,104,[eth9/20],trunk,inherit,down
1,104,[eth17/18],trunk,inherit,down
1,104,[eth14/16],trunk,inherit,down
1,104,[eth14/7],trunk,inherit,down
1,104,[eth17/2],trunk,inherit,down
1,104,[eth8/31],trunk,inherit,down
1,104,[eth14/15],trunk,inherit,down
1,104,[eth17/28],trunk,inherit,down
1,104,[eth15/30],trunk,inherit,down
1,104,[eth14/10],trunk,inherit,down
1,104,[eth17/24],trunk,inherit,down
1,104,[eth5/31],trunk,inherit,down
1,104,[eth9/2],trunk,inherit,down
1,104,[eth10/21],trunk,inherit,down
1,104,[eth16/24],trunk,inherit,down
1,104,[eth7/23],trunk,inherit,down
1,104,[eth7/9],trunk,inherit,down
1,104,[eth7/16],trunk,inherit,down
1,104,[eth7/5],trunk,inherit,down
1,104,[eth7/6],trunk,inherit,down
1,104,[eth7/22],trunk,inherit,down
1,104,[eth7/15],trunk,inherit,down
1,104,[eth7/17],trunk,inherit,down
1,104,[eth7/32],trunk,inherit,down
1,104,[eth7/24],trunk,inherit,down
1,104,[eth7/19],trunk,inherit,down
1,104,[eth7/20],trunk,inherit,down
1,104,[eth7/10],trunk,inherit,down
1,104,[eth13/11],trunk,inherit,down
1,104,[eth13/29],trunk,inherit,down
1,104,[eth13/14],trunk,inherit,down
1,104,[eth13/13],trunk,inherit,down
1,104,[eth13/7],trunk,inherit,down
1,104,[eth13/12],trunk,inherit,down
1,104,[eth13/8],trunk,inherit,down
1,104,[eth13/2],trunk,inherit,down
1,104,[eth13/1],trunk,inherit,down
1,104,[eth13/31],trunk,inherit,down
1,104,[eth13/3],trunk,inherit,down
1,104,[eth13/4],trunk,inherit,down
1,104,[eth13/27],trunk,inherit,down
1,104,[eth13/30],trunk,inherit,down
1,104,[eth13/26],trunk,inherit,down
1,104,[eth13/28],trunk,inherit,down
1,104,[eth13/25],trunk,inherit,down
1,104,[eth13/23],trunk,inherit,down
1,104,[eth13/9],trunk,inherit,down
